"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"49 years"	"49"	498	2826535	17.6
	"2000"	"2000"	"50 years"	"50"	467	2872642	16.3
	"2000"	"2000"	"51 years"	"51"	475	2777109	17.1
	"2000"	"2000"	"52 years"	"52"	421	2899231	14.5
	"2000"	"2000"	"53 years"	"53"	468	2889238	16.2
	"2000"	"2000"	"54 years"	"54"	332	2168570	15.3
	"2000"	"2000"	"55 years"	"55"	341	2218882	15.4
	"2000"	"2000"	"56 years"	"56"	292	2244277	13.0
	"2000"	"2000"	"57 years"	"57"	330	2289491	14.4
	"2000"	"2000"	"58 years"	"58"	264	2014758	13.1
	"2000"	"2000"	"59 years"	"59"	309	1870812	16.5
	"2000"	"2000"	"60 years"	"60"	229	1817270	12.6
	"2000"	"2000"	"61 years"	"61"	232	1763066	13.2
	"2000"	"2000"	"62 years"	"62"	228	1720509	13.3
	"2000"	"2000"	"63 years"	"63"	215	1630248	13.2
	"2000"	"2000"	"64 years"	"64"	219	1621621	13.5
	"2000"	"2000"	"65 years"	"65"	182	1618349	11.2
	"2000"	"2000"	"66 years"	"66"	174	1490859	11.7
	"2000"	"2000"	"67 years"	"67"	196	1527037	12.8
	"2000"	"2000"	"68 years"	"68"	221	1526174	14.5
	"2000"	"2000"	"69 years"	"69"	196	1544704	12.7
	"2000"	"2000"	"70 years"	"70"	206	1539209	13.4
	"2000"	"2000"	"71 years"	"71"	254	1483038	17.1
	"2000"	"2000"	"72 years"	"72"	229	1495554	15.3
	"2000"	"2000"	"73 years"	"73"	231	1447404	16.0
	"2000"	"2000"	"74 years"	"74"	186	1409803	13.2
	"2000"	"2000"	"75 years"	"75"	238	1398393	17.0
	"2000"	"2000"	"76 years"	"76"	236	1326307	17.8
	"2000"	"2000"	"77 years"	"77"	239	1247123	19.2
	"2000"	"2000"	"78 years"	"78"	217	1235726	17.6
	"2000"	"2000"	"79 years"	"79"	211	1137530	18.5
	"2000"	"2000"	"80 years"	"80"	214	1037049	20.6
	"2000"	"2000"	"81 years"	"81"	161	935014	17.2
	"2000"	"2000"	"82 years"	"82"	213	858901	24.8
	"2000"	"2000"	"83 years"	"83"	160	774120	20.7
	"2000"	"2000"	"84 years"	"84"	139	703930	19.7
	"2000"	"2000"	"85 years"	"85"	145	Not Applicable	Not Applicable
	"2000"	"2000"	"86 years"	"86"	123	Not Applicable	Not Applicable
	"2000"	"2000"	"87 years"	"87"	117	Not Applicable	Not Applicable
	"2000"	"2000"	"88 years"	"88"	102	Not Applicable	Not Applicable
	"2000"	"2000"	"89 years"	"89"	74	Not Applicable	Not Applicable
	"2000"	"2000"	"90 years"	"90"	61	Not Applicable	Not Applicable
	"2000"	"2000"	"91 years"	"91"	46	Not Applicable	Not Applicable
	"2000"	"2000"	"92 years"	"92"	31	Not Applicable	Not Applicable
	"2000"	"2000"	"93 years"	"93"	35	Not Applicable	Not Applicable
	"2000"	"2000"	"94 years"	"94"	21	Not Applicable	Not Applicable
